event,provenance,Year,Sex,sum_forcing
begin,4846,1977,MALE,200
begin,average,1977,MALE,166
begin,6003,1977,MALE,152
begin,5039,1978,MALE,191
begin,average,1978,MALE,161
begin,6003,1978,MALE,142
begin,4846,1979,MALE,213
begin,average,1979,MALE,187
begin,6042,1979,MALE,176
begin,5039,1977,FEMALE,187
begin,average,1977,FEMALE,166
begin,6322,1977,FEMALE,157
begin,5039,1978,FEMALE,172
begin,average,1978,FEMALE,152
begin,6003,1978,FEMALE,139
begin,5039,1979,FEMALE,211
begin,average,1979,FEMALE,190
begin,6322,1979,FEMALE,177
end,4846,1977,MALE,233
end,average,1977,MALE,210
end,6003,1977,MALE,192
end,4846,1978,MALE,226
end,average,1978,MALE,214
end,6003,1978,MALE,196
end,4846,1979,MALE,255
end,average,1979,MALE,236
end,6042,1979,MALE,222
end,5039,1977,FEMALE,274
end,average,1977,FEMALE,246
end,5731,1977,FEMALE,237
end,5102,1978,FEMALE,247
end,average,1978,FEMALE,229
end,5731,1978,FEMALE,219
end,5039,1979,FEMALE,263
end,average,1979,FEMALE,245
end,6042,1979,FEMALE,236
