Inst for Forest Tree Improvement,Faculty of Forestry,This study,Name,Latitude M,Longitude W,Altitude m,Distance to coast Km,Used Ange,in trial Volgsele
Is 605,14050,6322,"Steward Crossing, Yukon",63°22',136°42',480,430,X,
Is 604,14049,6049,"Haines Junction, Yukon",60°49',136°40',760,200,,
Is 598,14030,6042,"White Horse, Yukon",60°42',134°48',850,250,X,X
Is 595,14027,6012,"Teslin, Yukon",60°12',132°45',910,200,X,
Is 594,14024,6003,"Mile 630, Al. Hwy, B.C.",60°03',128°35',910,380,X,
Is 593,14023,5943,"Mile 545, Al. Hwy, B.C.",59°43',127°13',610,400,X,
Is 592,14021,5852,"Toad River, B.C.",58°52',125°21',760,450,X,
Is 591,14017,5850,"Ft Nelson, B.C.",58°50',122°42',450,600,,
Is 590,14015,5731,"Mile 181, Al. Hwy, B.C.",57°31',122°54',1230,480,X,
Is 589,14014,5646,"Wonowon, B.C.",56°46',121°53',910,600,X,
Is 586,14010,5430,"Bear Lake, B.C.",54°30',122°40',730,400,,
Is 585,14007,5419,"Burns Lake, B.C.",54°19',125°45',910,250,,
Is 584,14006,5404,"Ft. Frazer, B.C.",54°04',124°29',700,280,,X
Is 583,14005,5304,"Quesnel, B.C.",53°04',122°26',670,380,X,
Is 582,14004,5135,"Cariboo Highway, B.C.",51°35',121°18',1150,260,,X
Is 606,14052,5102,"Kananaskis, Alberta",51°02',115°01',400,550,X,
Is 581,14002,5039,"Fly Hills, Salmon Arm., B.C.",50°39',119°24',1400,260,X,
Is 603,14048,4846,"Victoria, B.C.",48°46',123°33',350,10,X,
P. Sylvestris,,P.S.A.,BL 24,62°30',,200,,X,
P. Sylvestris,,P.S.V.,BL 21,64°31',,460,,,X
